© 2000-2023 QIAGEN. All rights reserved.

Diseases and Bio Functions	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
Synthesis of purine nucleotide	1.884	-1.049	N/A	N/A	N/A	N/A	N/A	N/A
Intrathoracic organ tumor	N/A	N/A	-1.534	-0.463	-0.292	0.627	N/A	N/A
Development of genital tumor	N/A	N/A	0.51	1.181	N/A	1.223	N/A	N/A
Cell movement of neurons	N/A	N/A	N/A	N/A	0.875	1.892	N/A	-0.128
Development of colorectal tumor	N/A	N/A	1.96	N/A	N/A	0.927	N/A	N/A
Colon cancer	N/A	N/A	N/A	-0.025	N/A	1.98	0.849	N/A
Interaction of DNA	1.368	N/A	N/A	N/A	N/A	1.262	-0.211	N/A
Neoplasia of leukocytes	N/A	N/A	-0.559	-0.282	0.132	0.507	-1.36	N/A
Upper gastrointestinal tract tumor	N/A	0.618	2.216	N/A	N/A	N/A	N/A	N/A
Lymphoma	-1.196	N/A	0.236	0.419	-0.029	-0.041	-0.911	N/A
Disassembly of filaments	1.471	-1.358	N/A	N/A	N/A	N/A	N/A	N/A
Formation of dendrites	N/A	N/A	-1.787	N/A	-0.945	N/A	0.095	N/A
Lung tumor	N/A	N/A	-1.354	-0.418	-0.445	0.598	N/A	N/A
Female genital neoplasm	N/A	N/A	0.271	N/A	-0.152	2.379	N/A	N/A
Tumorigenesis of reproductive tract	N/A	N/A	0.271	N/A	-0.152	2.379	N/A	N/A
Metastasis of cells	N/A	N/A	N/A	N/A	N/A	2.786	N/A	N/A
Proliferation of embryonic cell lines	N/A	-1.31	N/A	N/A	-1.453	N/A	N/A	N/A
Cell movement of connective tissue cells	N/A	N/A	N/A	N/A	N/A	N/A	2.755	N/A
Hydrolysis of nucleotide	1.544	-1.181	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of cellular protrusions	N/A	N/A	-1.332	N/A	N/A	1.379	N/A	N/A
Differentiation of stem cells	N/A	N/A	N/A	N/A	N/A	N/A	2.688	N/A
Formation of cytoskeleton	N/A	-1.418	N/A	0.068	N/A	1.189	N/A	N/A
Migration of neuroglia	N/A	N/A	N/A	-1.145	N/A	1.518	N/A	N/A
Proliferation of neuroglia	N/A	N/A	N/A	0.429	N/A	0.718	0.785	0.728
Hydrolysis of GTP	1.32	-1.327	N/A	N/A	N/A	N/A	N/A	N/A
Cell death of fibroblast cell lines	N/A	0.393	-1.048	N/A	N/A	1.2	N/A	N/A
Differentiation of neurons	N/A	N/A	N/A	-0.565	N/A	1.883	-0.185	N/A
Binding of tumor cell lines	N/A	N/A	N/A	N/A	N/A	2.633	N/A	N/A
Assembly of intercellular junctions	N/A	N/A	N/A	N/A	N/A	N/A	-2.19	-0.412
Colony formation of cells	N/A	-0.264	-0.349	N/A	N/A	0.689	-0.783	0.496
Metabolism of nucleotide	2.572	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interaction of tumor cell lines	N/A	N/A	N/A	N/A	N/A	2.534	N/A	N/A
Replication of coronavirus	2.53	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abdominal cancer	-0.082	-0.657	-0.605	-0.046	0.313	-0.3	-0.505	N/A
Proliferation of central nervous system cells	2.047	N/A	N/A	N/A	N/A	N/A	N/A	-0.456
Splicing of mRNA	-0.263	0.707	1.374	N/A	0.135	N/A	N/A	N/A
Advanced malignant solid tumor	0.575	N/A	N/A	-0.726	-0.167	0.018	-0.976	N/A
Central nervous system solid tumor	N/A	N/A	-0.954	0.444	-0.548	-0.497	N/A	N/A
Activation of DNA endogenous promoter	-0.902	1.02	N/A	N/A	0.52	N/A	N/A	N/A
Differentiation of astrocytes	N/A	N/A	N/A	2.433	N/A	N/A	N/A	N/A
Cell movement of leukocytes	N/A	N/A	N/A	-0.337	N/A	2.089	N/A	N/A
Congenital anomaly of eye	N/A	N/A	N/A	-2.425	N/A	N/A	N/A	N/A
Glioma	N/A	N/A	-0.227	0.861	0.103	-1.222	N/A	N/A
Quantity of reactive oxygen species	-2.406	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell movement of carcinoma cell lines	0.172	N/A	N/A	N/A	N/A	2.228	N/A	N/A
Breast carcinoma	N/A	N/A	-1.673	N/A	-0.715	N/A	N/A	N/A
Long-term potentiation of brain	0.976	N/A	0.369	0.49	N/A	N/A	0.545	N/A
Angiogenesis	N/A	N/A	N/A	0.152	N/A	1.228	N/A	-0.959
DNA recombination	N/A	-2.319	N/A	N/A	N/A	N/A	N/A	N/A
Cell death of neuroblastoma cell lines	-0.441	N/A	-0.158	0.259	N/A	-0.685	-0.764	N/A
Processing of mRNA	-0.263	0.707	1.171	N/A	0.135	N/A	N/A	N/A
Congenital encephalopathy	N/A	N/A	0.819	N/A	-0.552	-0.806	0.083	N/A
Breast or gynecological cancer	N/A	N/A	-1.159	N/A	-1.095	0.0	N/A	N/A
Extension of axons	N/A	N/A	0.596	N/A	N/A	N/A	1.528	-0.128
Phagocytosis of tumor cell lines	N/A	-2.248	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of connective tissue cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-2.233
Cell movement of fibroblast cell lines	N/A	N/A	N/A	N/A	N/A	2.226	N/A	N/A
Leukocyte migration	N/A	N/A	N/A	-0.511	N/A	1.707	N/A	N/A
Infection by Zaire ebolavirus	2.216	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell death of central nervous system cells	-0.623	N/A	N/A	-0.773	N/A	-0.768	-0.042	N/A
Development of central nervous system cells	N/A	N/A	N/A	N/A	N/A	2.205	N/A	N/A
Epithelial neoplasm	N/A	N/A	-0.896	0.465	-0.822	0.016	N/A	N/A
Genital carcinoma	N/A	N/A	0.97	1.067	N/A	-0.152	N/A	N/A
Non-astrocytoma brain tumor	-1.98	-0.207	N/A	N/A	N/A	N/A	N/A	N/A
Cell death of cervical cancer cell lines	-0.239	0.936	0.666	N/A	N/A	N/A	-0.341	N/A
Chemotaxis of endothelial cells	N/A	N/A	N/A	-0.832	N/A	N/A	N/A	1.342
Familial central nervous system disease	0.0	N/A	-0.822	N/A	1.342	0.0	N/A	N/A
Invasion of carcinoma cell lines	N/A	N/A	N/A	N/A	N/A	1.024	1.139	N/A
Activation of enzyme	N/A	-2.157	N/A	N/A	N/A	N/A	N/A	N/A
Synaptic transmission	N/A	N/A	0.958	-0.778	N/A	-0.406	N/A	N/A
Myelination of cells	N/A	2.133	N/A	N/A	N/A	N/A	N/A	N/A
Depolymerization of filaments	2.118	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Long-term potentiation	0.411	N/A	0.115	-0.595	N/A	0.848	0.148	N/A
Cell death of muscle cells	0.37	0.673	0.866	0.206	N/A	N/A	N/A	N/A
Colorectal tumor	N/A	N/A	-0.608	0.163	N/A	0.479	0.861	N/A
Central nervous system amyloidosis	N/A	N/A	0.721	N/A	N/A	-1.389	N/A	N/A
Astrocytosis	-1.402	N/A	N/A	N/A	N/A	N/A	0.707	N/A
B cell cancer	N/A	N/A	0.695	0.0	-1.0	-0.413	N/A	N/A
Peripheral vascular disease	-0.196	N/A	N/A	1.488	N/A	N/A	0.417	N/A
Glycolysis	N/A	2.101	N/A	N/A	N/A	N/A	N/A	N/A
Glycolysis of cells	N/A	2.095	N/A	N/A	N/A	N/A	N/A	N/A
Colony formation	N/A	0.108	-0.359	N/A	N/A	1.167	-0.448	N/A
Lymphocytic cancer	N/A	N/A	-0.281	-0.158	-0.029	0.407	-1.198	N/A
Malignant lymphocytic neoplasm	N/A	N/A	-0.281	-0.158	-0.029	0.407	-1.198	N/A
Digestive system cancer	N/A	-0.244	0.54	-0.275	-0.188	-0.031	-0.784	N/A
Homing of cells	N/A	N/A	N/A	-1.611	N/A	N/A	N/A	0.444
Splicing of RNA	-0.552	0.0	1.007	N/A	-0.484	N/A	N/A	N/A
Endocytosis by cervical cancer cell lines	2.027	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of nervous tissue	N/A	N/A	0.222	N/A	-1.191	N/A	0.608	N/A
Formation of renal lesion	N/A	N/A	-2.02	N/A	N/A	N/A	N/A	N/A
Formation of filaments	N/A	-0.975	N/A	0.565	N/A	0.48	N/A	N/A
Cell death of colorectal cancer cell lines	-2.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of filopodia	N/A	N/A	N/A	N/A	N/A	2.009	N/A	N/A
Cell viability of lung cancer cell lines	N/A	-2.006	N/A	N/A	N/A	N/A	N/A	N/A
Interphase of tumor cell lines	N/A	N/A	N/A	N/A	-1.612	N/A	0.393	N/A
Chemotaxis	N/A	N/A	N/A	-1.821	N/A	N/A	N/A	0.177
Synthesis of sphinganine	N/A	1.997	N/A	N/A	N/A	N/A	N/A	N/A
Ovarian tumor	N/A	N/A	N/A	N/A	N/A	1.982	N/A	N/A
Oral tumor	N/A	N/A	1.982	N/A	N/A	N/A	N/A	N/A
Growth of skin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.98
Non-colon gastrointestinal cancer	N/A	N/A	1.969	N/A	N/A	N/A	N/A	N/A
Upper gastrointestinal tract cancer	N/A	N/A	1.969	N/A	N/A	N/A	N/A	N/A
Cell death of cerebral cortex cells	-0.674	N/A	N/A	-0.525	N/A	N/A	-0.767	N/A
Midline brain anomaly	N/A	1.961	N/A	N/A	N/A	N/A	N/A	N/A
Development of intestinal tumor	N/A	N/A	1.96	N/A	N/A	N/A	N/A	N/A
Modification of hydrogen peroxide	1.96	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Immune response of tumor cell lines	N/A	-1.957	N/A	N/A	N/A	N/A	N/A	N/A
Breast or ovarian carcinoma	N/A	N/A	-1.233	N/A	-0.715	N/A	N/A	N/A
Phagocytosis by macrophage cancer cell lines	N/A	-1.947	N/A	N/A	N/A	N/A	N/A	N/A
Development of renal tumor	N/A	N/A	-1.947	N/A	N/A	N/A	N/A	N/A
Kidney carcinoma	N/A	N/A	-1.942	N/A	N/A	N/A	N/A	N/A
Upper renal tract carcinoma	N/A	N/A	-1.942	N/A	N/A	N/A	N/A	N/A
Behavioral deficit	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.941
Gliosis	-1.935	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Migration of neurons	N/A	N/A	N/A	N/A	0.404	0.971	N/A	-0.555
Exencephaly	N/A	1.924	N/A	N/A	N/A	N/A	N/A	N/A
Coordination	0.767	N/A	N/A	N/A	N/A	N/A	N/A	-1.153
B-cell neoplasm	N/A	N/A	0.449	-0.378	-1.0	-0.091	N/A	N/A
Gastric lesion	N/A	N/A	1.913	N/A	N/A	N/A	N/A	N/A
Migration of lymphatic system cells	N/A	N/A	N/A	N/A	N/A	1.905	N/A	N/A
Cell movement of neuroglia	N/A	N/A	N/A	N/A	N/A	1.901	N/A	N/A
Lymphocyte migration	N/A	N/A	N/A	N/A	N/A	1.901	N/A	N/A
Fibrogenesis	N/A	-1.238	N/A	N/A	N/A	0.662	N/A	N/A
Ataxia	N/A	N/A	1.897	N/A	N/A	N/A	N/A	N/A
Migration of antigen presenting cells	N/A	N/A	N/A	-1.225	N/A	N/A	N/A	0.657
Necrosis of epithelial tissue	N/A	1.874	N/A	N/A	N/A	N/A	N/A	N/A
Infection by Marburg virus	-0.391	1.067	N/A	N/A	-0.391	N/A	N/A	N/A
Male genital neoplasm	N/A	N/A	0.343	1.348	-0.155	N/A	N/A	N/A
Assembly of cell-cell contacts	N/A	N/A	N/A	N/A	N/A	N/A	-1.846	N/A
Formation of intercellular junctions	N/A	N/A	N/A	N/A	N/A	N/A	-1.846	N/A
Endoplasmic reticulum stress response	-0.279	N/A	N/A	N/A	N/A	-1.565	N/A	N/A
Prostatic tumor	N/A	N/A	0.036	1.348	-0.456	N/A	N/A	N/A
Tumor burden	N/A	-1.835	N/A	N/A	N/A	N/A	N/A	N/A
Cell proliferation of cervical cancer cell lines	1.029	N/A	N/A	N/A	-0.795	N/A	N/A	N/A
Transactivation of RNA	1.393	N/A	N/A	N/A	0.125	0.293	N/A	N/A
Autophagy of mitochondria	1.801	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Brain lesion	N/A	N/A	-1.8	N/A	N/A	N/A	N/A	N/A
Soft tissue lesion	N/A	N/A	-1.795	N/A	N/A	N/A	N/A	N/A
Formation of actin filaments	N/A	-0.954	N/A	0.257	N/A	0.574	N/A	N/A
Subcutaneous tumor	N/A	N/A	N/A	N/A	-1.767	N/A	N/A	N/A
Growth of malignant tumor	N/A	-1.765	N/A	N/A	N/A	N/A	N/A	N/A
Density of neurons	N/A	N/A	-0.742	N/A	N/A	N/A	0.633	0.377
Fragmentation of Golgi apparatus	N/A	1.751	N/A	N/A	N/A	N/A	N/A	N/A
Dysmyelination	N/A	N/A	N/A	N/A	N/A	-1.75	N/A	N/A
Development of sensory organ	N/A	N/A	N/A	1.717	N/A	N/A	N/A	N/A
Neural tube defect	N/A	1.716	N/A	N/A	N/A	N/A	N/A	N/A
Catabolism of hydrogen peroxide	1.715	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Reduction of hydrogen peroxide	1.715	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Invasion of lung cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	1.714	N/A
Perinatal death	N/A	N/A	1.135	N/A	N/A	N/A	N/A	0.575
Transport of protein	-0.781	-0.61	-0.318	N/A	N/A	N/A	N/A	N/A
Proliferation of cancer cells	N/A	-1.696	N/A	N/A	N/A	N/A	N/A	N/A
Central nervous system cancer	N/A	N/A	-0.974	N/A	N/A	-0.721	N/A	N/A
Cell death of brain cells	N/A	N/A	N/A	-0.746	N/A	-0.754	-0.188	N/A
Tumorigenesis of lymphocytes	N/A	N/A	-0.083	-0.082	-0.029	0.348	-1.142	N/A
Productive infection of cervical cancer cell lines	1.682	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Fragmentation of DNA	-1.681	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hyperactive behavior	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.671
Renal cell carcinoma	N/A	N/A	-1.671	N/A	N/A	N/A	N/A	N/A
Adhesion of neuroglia	N/A	N/A	N/A	-0.497	N/A	1.172	N/A	N/A
Necrosis of muscle	N/A	0.493	0.745	0.421	N/A	N/A	N/A	N/A
Ubiquitination	N/A	N/A	-1.658	N/A	N/A	N/A	N/A	N/A
Production of reactive oxygen species	-1.638	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Organization of cellular membrane	N/A	N/A	1.633	N/A	N/A	N/A	N/A	N/A
Nonpituitary endocrine tumor	N/A	0.843	0.788	N/A	N/A	N/A	N/A	N/A
Cell viability of cervical cancer cell lines	1.612	N/A	N/A	N/A	-0.011	N/A	N/A	N/A
Apoptosis of carcinoma cell lines	-1.622	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of connective tissue cells	N/A	N/A	N/A	N/A	N/A	N/A	-0.952	-0.662
Differentiation of central nervous system cells	N/A	N/A	N/A	1.023	N/A	N/A	0.588	N/A
Birthweight	N/A	-1.609	N/A	N/A	N/A	N/A	N/A	N/A
Epilepsy or neurodevelopmental disorder	0.651	N/A	0.563	N/A	0.0	-0.388	N/A	N/A
Breast adenocarcinoma	N/A	N/A	0.152	N/A	-1.445	N/A	N/A	N/A
Metastatic solid tumor	0.575	N/A	N/A	N/A	N/A	0.018	-0.976	N/A
Elongation of neurites	N/A	N/A	N/A	N/A	N/A	0.496	N/A	1.067
Intestinal tumor	N/A	N/A	-0.431	N/A	-1.131	N/A	N/A	N/A
Organization of actin cytoskeleton	N/A	N/A	N/A	N/A	N/A	N/A	1.562	N/A
Initiation of expression of RNA	N/A	-1.554	N/A	N/A	N/A	N/A	N/A	N/A
Tauopathy	N/A	N/A	-1.551	N/A	N/A	N/A	N/A	N/A
Pelvic lesion	N/A	N/A	N/A	N/A	-0.857	0.688	N/A	N/A
Thoracic neoplasm	N/A	N/A	-1.534	N/A	N/A	N/A	N/A	N/A
Neonatal death	N/A	N/A	1.04	N/A	N/A	N/A	N/A	0.493
Interphase	N/A	N/A	N/A	N/A	-0.919	N/A	-0.593	N/A
Abnormality of cerebral cortex	N/A	N/A	1.507	N/A	N/A	N/A	N/A	N/A
Proliferation of connective tissue cells	0.493	-0.117	N/A	N/A	N/A	0.798	0.088	N/A
Development of neuroepithelial tumor	N/A	N/A	-0.26	N/A	N/A	-1.222	N/A	N/A
Depolymerization of actin filaments	N/A	-1.478	N/A	N/A	N/A	N/A	N/A	N/A
Diabetes mellitus	N/A	N/A	N/A	-1.467	N/A	N/A	N/A	N/A
Intestinal carcinoma	N/A	N/A	1.467	N/A	N/A	N/A	N/A	N/A
Cell movement of prostate cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	1.46	N/A
Epithelial-mesenchymal transition	N/A	N/A	N/A	N/A	N/A	N/A	1.458	N/A
Differentiation of connective tissue cells	N/A	N/A	N/A	N/A	1.454	N/A	N/A	N/A
Cell death of hippocampal neurons	N/A	N/A	N/A	N/A	N/A	N/A	-1.447	N/A
Cell death of carcinoma cell lines	-1.439	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stereotypy	1.432	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Migration of prostate cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	1.414	N/A
Stomach tumor	N/A	N/A	1.408	N/A	N/A	N/A	N/A	N/A
Motor function	0.558	N/A	N/A	N/A	N/A	-0.529	-0.308	N/A
Degenerative brain disorder	N/A	N/A	N/A	1.016	N/A	N/A	-0.374	N/A
Transport of vesicles	N/A	N/A	1.388	N/A	N/A	N/A	N/A	N/A
Ovarian lesion	N/A	N/A	N/A	N/A	N/A	1.387	N/A	N/A
Progressive solid tumor	N/A	-1.387	N/A	N/A	N/A	N/A	N/A	N/A
Brain tumor	N/A	N/A	-1.369	N/A	N/A	N/A	N/A	N/A
Cell death of retinal ganglion cells	N/A	N/A	N/A	-0.579	N/A	0.785	N/A	N/A
Lymphohematopoietic cancer	N/A	N/A	-1.363	N/A	N/A	N/A	N/A	N/A
Synaptic depression	N/A	N/A	N/A	N/A	N/A	1.361	N/A	N/A
Formation of cellular inclusion bodies	N/A	N/A	N/A	N/A	N/A	N/A	-1.352	N/A
Epithelial-mesenchymal transition of tumor cell lines	1.345	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hematologic cancer of cells	N/A	N/A	-0.086	0.161	-0.029	0.157	-0.911	N/A
Cell movement of antigen presenting cells	N/A	N/A	N/A	-1.342	N/A	N/A	N/A	N/A
Quantity of C18-ceramide	N/A	1.342	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of ribosome	N/A	-1.342	N/A	N/A	N/A	N/A	N/A	N/A
Activation of blood cells	N/A	N/A	N/A	1.337	N/A	N/A	N/A	N/A
Hepato-pancreato-biliary cancer	N/A	N/A	-0.12	-0.369	0.345	-0.498	N/A	N/A
Infection by coronavirus	N/A	N/A	N/A	N/A	0.152	N/A	-1.172	N/A
Metastasis of hepatoma cell lines	N/A	-1.311	N/A	N/A	N/A	N/A	N/A	N/A
Connective or soft tissue tumor	N/A	N/A	N/A	0.426	-0.319	N/A	-0.555	N/A
Depolarization of cellular membrane	N/A	N/A	N/A	-1.3	N/A	N/A	N/A	N/A
Development of benign tumor	N/A	0.612	N/A	N/A	N/A	N/A	0.664	N/A
Cell death of epithelial cells	N/A	1.264	N/A	N/A	N/A	N/A	N/A	N/A
Colon tumor	N/A	N/A	0.054	0.163	N/A	0.479	0.562	N/A
Growth of embryo	N/A	N/A	N/A	N/A	N/A	1.258	N/A	N/A
Paralysis	N/A	N/A	N/A	1.254	N/A	N/A	N/A	N/A
Differentiation of tumor cell lines	N/A	N/A	N/A	N/A	N/A	1.243	N/A	N/A
Quantity of steroid	N/A	N/A	N/A	1.236	N/A	N/A	N/A	N/A
Cell movement of phagocytes	N/A	N/A	N/A	-1.233	N/A	N/A	N/A	N/A
Formation of cell-cell contacts	N/A	N/A	N/A	N/A	N/A	N/A	-1.231	N/A
Apoptosis of retinal ganglion cells	N/A	N/A	N/A	-0.647	N/A	0.579	N/A	N/A
Differentiation of brain	N/A	N/A	N/A	-1.219	N/A	N/A	N/A	N/A
Development of carcinoma cell lines	N/A	1.212	N/A	N/A	N/A	N/A	N/A	N/A
Congenital anomaly of cardiovascular system	N/A	0.423	N/A	-0.785	N/A	N/A	N/A	N/A
Proliferation of epithelial cells	N/A	N/A	N/A	0.004	N/A	N/A	1.193	N/A
Cerebrovascular dysfunction	N/A	N/A	N/A	1.188	N/A	N/A	N/A	N/A
Migration of tumor cells	N/A	N/A	N/A	N/A	N/A	N/A	1.184	N/A
Endocrine gland tumor	N/A	1.055	0.124	N/A	0.0	N/A	N/A	N/A
Interphase of colorectal cancer cell lines	N/A	1.177	N/A	N/A	N/A	N/A	N/A	N/A
Action potential of cells	N/A	N/A	N/A	N/A	N/A	-1.172	N/A	N/A
Non-traumatic arthropathy	N/A	N/A	N/A	N/A	1.165	N/A	N/A	N/A
Neuromuscular disease	N/A	N/A	1.165	N/A	N/A	N/A	N/A	N/A
Growth of epithelial tissue	N/A	N/A	N/A	0.162	N/A	N/A	1.002	N/A
Differentiation of neural precursor cells	N/A	N/A	N/A	-0.6	N/A	N/A	-0.555	N/A
Oxidation of protein	-1.154	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hearing	1.0	N/A	N/A	N/A	N/A	N/A	N/A	0.152
Pancreaticobiliary carcinoma	N/A	N/A	-0.445	N/A	0.686	N/A	N/A	N/A
Progressive encephalopathy	N/A	0.094	-0.425	-0.611	N/A	N/A	N/A	N/A
Lymphatic system tumor	N/A	N/A	-0.738	N/A	-0.287	-0.089	N/A	N/A
Cell movement of ovarian cancer cell lines	1.11	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell movement of myeloid cells	N/A	N/A	N/A	-1.11	N/A	N/A	N/A	N/A
Long-term potentiation of cerebral cortex	N/A	N/A	0.39	0.72	N/A	N/A	N/A	N/A
Quantity of hair cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.109
Large intestine neoplasm	N/A	-0.022	-0.608	N/A	N/A	0.479	N/A	N/A
Development of vasculature	N/A	N/A	N/A	0.134	N/A	N/A	N/A	-0.959
Conformational modification of protein	N/A	N/A	-1.093	N/A	N/A	N/A	N/A	N/A
Cell death of connective tissue cells	N/A	0.614	N/A	N/A	N/A	0.478	N/A	N/A
Intestinal adenocarcinoma	N/A	N/A	1.091	N/A	N/A	N/A	N/A	N/A
Gastrointestinal adenocarcinoma	N/A	N/A	1.091	N/A	N/A	N/A	N/A	N/A
Biosynthesis of nucleoside triphosphate	N/A	N/A	N/A	N/A	N/A	1.069	N/A	N/A
Prostatic carcinoma	N/A	N/A	N/A	1.067	N/A	N/A	N/A	N/A
Bleeding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.063
Cell death of kidney cells	-0.756	N/A	N/A	N/A	N/A	N/A	-0.29	N/A
Memory	N/A	N/A	N/A	N/A	-1.038	N/A	N/A	N/A
Intrathoracic malignant tumor	N/A	N/A	-1.035	N/A	N/A	N/A	N/A	N/A
Cell death of embryonic cell lines	N/A	0.919	-0.115	N/A	N/A	N/A	N/A	N/A
Quantity of intercellular junctions	N/A	N/A	N/A	-1.033	N/A	N/A	N/A	N/A
Colony formation of carcinoma cell lines	N/A	1.03	N/A	N/A	N/A	N/A	N/A	N/A
Uptake of D-glucose	N/A	N/A	N/A	1.025	N/A	N/A	N/A	N/A
Potentiation of synapse	N/A	N/A	N/A	N/A	N/A	1.02	N/A	N/A
Distribution of lipid	N/A	N/A	N/A	-1.016	N/A	N/A	N/A	N/A
Epithelial-mesenchymal transition of prostate cancer cell lines	-1.009	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell proliferation of fibroblasts	N/A	-0.588	N/A	N/A	N/A	0.414	N/A	N/A
Assembly of protein-protein complex	N/A	N/A	-1.0	N/A	N/A	N/A	N/A	N/A
Apoptosis of cancer stem cells	N/A	1.0	N/A	N/A	N/A	N/A	N/A	N/A
Cell viability of breast cancer cell lines	0.996	N/A	N/A	N/A	N/A	N/A	N/A	N/A
T-cell malignant neoplasm	N/A	N/A	-0.166	-0.822	N/A	N/A	N/A	N/A
Formation of eye	N/A	N/A	N/A	0.977	N/A	N/A	N/A	N/A
Cytokinesis	N/A	-0.976	N/A	N/A	N/A	N/A	N/A	N/A
Binding of carbohydrate	N/A	N/A	N/A	-0.964	N/A	N/A	N/A	N/A
Colony formation of myeloid cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.94
Migration of phagocytes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.934
Non-small cell lung carcinoma	N/A	N/A	-0.834	N/A	-0.095	0.0	N/A	N/A
Differentiation of brain cells	N/A	N/A	N/A	-0.928	N/A	N/A	N/A	N/A
Metastatic potential of tumor cell lines	0.922	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Apoptosis of neuroblastoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	-0.916	N/A
Apoptosis of muscle cells	0.307	0.608	N/A	N/A	N/A	N/A	N/A	N/A
Transformation of fibroblasts	N/A	N/A	N/A	N/A	N/A	N/A	0.914	N/A
Proliferation of gonadal cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.9
Glioblastoma	N/A	-0.148	-0.748	N/A	N/A	N/A	N/A	N/A
Reorganization of filaments	N/A	-0.895	N/A	N/A	N/A	N/A	N/A	N/A
Exchange of nucleotide	0.447	-0.447	N/A	N/A	N/A	N/A	N/A	N/A
Biosynthesis of reactive oxygen species	-0.102	0.786	N/A	N/A	N/A	N/A	N/A	N/A
Cell movement of tumor cells	N/A	N/A	N/A	N/A	N/A	N/A	0.868	N/A
Cell movement of colorectal cancer cell lines	N/A	N/A	N/A	0.639	N/A	-0.226	N/A	N/A
Migration of ovarian cancer cell lines	0.862	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Glycolysis of tumor cell lines	0.856	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Leukopoiesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-0.855
Metastatic potential	0.852	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ductal carcinoma	N/A	N/A	-0.4	N/A	0.444	N/A	N/A	N/A
Stress response of cells	-0.841	N/A	N/A	N/A	N/A	N/A	N/A	N/A
M phase	N/A	-0.839	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of C24:1-ceramide	N/A	0.816	N/A	N/A	N/A	N/A	N/A	N/A
Lymphatic node tumor	N/A	N/A	N/A	N/A	N/A	-0.816	N/A	N/A
Survival of neural cells	N/A	N/A	N/A	0.093	N/A	0.708	N/A	N/A
Gliosis of central nervous system	-0.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Synthesis of nitric oxide	N/A	N/A	N/A	-0.784	N/A	N/A	N/A	N/A
Astrocytoma	N/A	N/A	-0.781	N/A	N/A	N/A	N/A	N/A
Quantity of actin stress fibers	0.78	N/A	N/A	N/A	N/A	N/A	N/A	N/A
