© 2000-2023 QIAGEN. All rights reserved.

Upstream Regulators	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
SIX2	N/A	0.0	0.0	-1.0	N/A	N/A	-2.0	N/A
SFRP1	N/A	1.982	N/A	N/A	N/A	-1.016	N/A	N/A
H1-6	1.134	N/A	N/A	N/A	1.414	N/A	-0.447	N/A
H1f1	1.134	N/A	N/A	N/A	1.414	N/A	-0.447	N/A
PLAU	-2.0	0.578	N/A	N/A	N/A	0.416	N/A	N/A
ursolic acid	N/A	1.925	N/A	N/A	N/A	1.067	N/A	N/A
aristolochic acid I	1.99	N/A	N/A	N/A	-1.0	N/A	N/A	N/A
calyculin A	N/A	-1.0	N/A	N/A	N/A	1.982	N/A	N/A
PACS1	N/A	N/A	N/A	N/A	-1.982	1.0	N/A	N/A
CD247	-1.414	N/A	N/A	N/A	-1.265	-0.302	N/A	N/A
YARS2	N/A	1.342	-0.632	N/A	1.0	N/A	N/A	N/A
CALCA	N/A	N/A	-2.228	-0.164	0.58	N/A	N/A	N/A
miR-29b-3p (and other miRNAs w/seed AGCACCA)	N/A	N/A	0.743	0.818	N/A	-1.302	-0.096	N/A
FGF2	N/A	N/A	N/A	-0.059	1.341	-1.126	-0.343	-0.087
nilotinib	N/A	0.547	-0.438	N/A	N/A	N/A	-1.964	N/A
MAFB	N/A	N/A	N/A	N/A	2.0	-0.788	N/A	0.152
betaine	-0.283	0.0	-1.673	N/A	0.13	0.849	N/A	N/A
HOXA9	0.816	-0.447	-0.853	0.0	0.816	N/A	N/A	N/A
cytokine	N/A	N/A	N/A	0.0	N/A	-1.792	-1.134	N/A
FOXM1	N/A	N/A	N/A	0.758	N/A	0.986	1.167	N/A
trichloroethylene	N/A	-1.265	-0.5	0.0	N/A	-1.134	0.0	N/A
benzene	N/A	-1.265	-0.5	0.0	N/A	-1.134	0.0	N/A
KDM3B	N/A	N/A	1.265	N/A	N/A	-1.633	N/A	N/A
LMNA	-1.897	N/A	N/A	N/A	N/A	N/A	1.0	N/A
5-azacytidine	N/A	N/A	N/A	1.48	N/A	0.911	-0.495	N/A
COL18A1	N/A	1.944	N/A	N/A	0.245	0.14	N/A	0.555
SREBF2	N/A	N/A	-2.792	0.092	N/A	N/A	0.0	N/A
MMP11	0.927	N/A	1.212	N/A	N/A	0.742	N/A	N/A
PTPRR	N/A	0.577	N/A	2.0	N/A	-0.302	N/A	N/A
FOXC2	N/A	N/A	N/A	1.406	N/A	N/A	1.467	N/A
MIR124	N/A	N/A	N/A	-0.849	N/A	-0.012	-2.0	N/A
citarinostat	N/A	-1.387	-1.463	N/A	N/A	N/A	N/A	N/A
TGFBR2	N/A	0.526	1.824	-0.259	N/A	-0.237	N/A	N/A
TNFSF10	N/A	N/A	N/A	N/A	N/A	0.935	-1.895	N/A
CSF2RA	N/A	N/A	N/A	N/A	N/A	-1.98	-0.849	N/A
SIRT2	N/A	N/A	-2.828	N/A	N/A	N/A	N/A	N/A
FMN2	0.816	N/A	-1.633	N/A	0.378	0.0	N/A	N/A
DICER1	N/A	N/A	N/A	-0.984	0.617	-0.493	-0.327	0.4
PTPN6	N/A	1.941	N/A	N/A	N/A	-0.853	N/A	N/A
HOXA7	1.342	-0.447	N/A	N/A	1.0	N/A	N/A	N/A
ADGRE2	N/A	N/A	N/A	N/A	1.0	-1.342	-0.447	N/A
UPF2	N/A	N/A	0.788	N/A	2.0	N/A	N/A	N/A
lysophosphatidic acid	N/A	N/A	N/A	-0.906	0.881	N/A	-0.586	-0.408
nitrofen	N/A	0.447	2.333	N/A	N/A	N/A	N/A	N/A
CDKN1A	N/A	N/A	N/A	-0.44	N/A	-0.993	-1.338	N/A
MTA1	N/A	N/A	N/A	1.955	N/A	-0.814	N/A	N/A
SW016789	N/A	N/A	N/A	N/A	2.213	-0.555	N/A	N/A
SEL1L	-0.152	N/A	1.254	N/A	-1.067	-0.294	N/A	N/A
SPRY2	N/A	N/A	N/A	-0.808	N/A	N/A	N/A	-1.951
bortezomib	0.263	-0.647	-0.553	N/A	N/A	N/A	-1.294	N/A
memantine	0.426	N/A	N/A	N/A	1.128	1.195	N/A	N/A
homocysteine	0.137	-0.219	-1.149	0.807	0.232	0.201	N/A	N/A
CREB3	N/A	N/A	-1.672	N/A	N/A	1.067	N/A	N/A
NQO1	N/A	-0.765	N/A	N/A	N/A	1.969	N/A	N/A
DAG1	N/A	N/A	-1.0	N/A	N/A	1.732	N/A	N/A
CLIC4	N/A	N/A	N/A	-0.277	-1.387	-1.066	N/A	N/A
KCNJ2	-2.714	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SFN	N/A	N/A	N/A	N/A	N/A	-0.728	-1.98	N/A
BAX	N/A	-0.271	N/A	N/A	N/A	2.425	N/A	N/A
CUL3	1.279	N/A	N/A	N/A	1.4	N/A	N/A	N/A
Irp	N/A	N/A	1.987	N/A	N/A	-0.686	N/A	N/A
PDGF-DD	N/A	N/A	-1.673	0.0	N/A	1.0	N/A	N/A
NEDD9	N/A	N/A	N/A	-0.594	N/A	1.23	-0.594	0.254
Pkc(s)	N/A	N/A	N/A	0.202	0.771	0.153	-1.535	N/A
GFER	2.646	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DTX1	N/A	N/A	-1.673	-0.816	N/A	-0.152	0.0	N/A
SUMO2	N/A	N/A	1.177	0.0	N/A	0.447	-1.0	N/A
SFLLRN (PAR1-activator)	0.378	1.0	0.277	0.577	0.0	0.378	N/A	N/A
PD184352	N/A	N/A	-1.211	N/A	-0.185	1.211	N/A	N/A
LCAT	0.283	N/A	0.64	N/A	0.651	-1.026	N/A	N/A
N-methyl-D-aspartate	N/A	N/A	N/A	-0.566	1.208	0.826	N/A	N/A
miR-7a-5p (and other miRNAs w/seed GGAAGAC)	N/A	-0.327	1.681	N/A	-0.59	N/A	N/A	N/A
tetrachlorodibenzodioxin	N/A	N/A	N/A	0.316	-0.572	-1.32	0.388	N/A
RNF187	N/A	N/A	N/A	N/A	-1.488	N/A	1.103	N/A
MAPK12	N/A	N/A	N/A	N/A	1.934	-0.651	N/A	N/A
romidepsin	-0.887	0.714	-0.53	N/A	N/A	-0.447	N/A	N/A
SNHG11	N/A	N/A	-1.287	N/A	N/A	1.287	N/A	N/A
TUG1	N/A	N/A	N/A	N/A	N/A	0.577	1.992	N/A
ETS2	N/A	N/A	N/A	N/A	N/A	N/A	-1.432	-1.131
formoterol	N/A	1.131	1.432	N/A	N/A	N/A	N/A	N/A
RBL2	N/A	-0.392	N/A	N/A	2.156	N/A	N/A	N/A
CITED2	N/A	N/A	N/A	N/A	-1.982	N/A	-0.563	N/A
arsenic	1.428	N/A	N/A	N/A	1.072	0.035	N/A	N/A
androgen	-0.342	N/A	N/A	0.647	-0.378	0.513	-0.647	N/A
15(S)-HETE	N/A	-0.963	-0.305	-1.257	N/A	N/A	N/A	N/A
DGCR5	N/A	N/A	-1.452	N/A	N/A	-1.067	N/A	N/A
caspase	N/A	N/A	-1.387	N/A	N/A	1.131	N/A	N/A
mir-145	N/A	N/A	N/A	N/A	N/A	-0.562	-1.954	N/A
TREM1	N/A	N/A	N/A	N/A	2.514	N/A	N/A	N/A
ARID3A	0.0	N/A	-0.277	N/A	N/A	N/A	2.236	N/A
STK40	N/A	N/A	N/A	1.406	N/A	N/A	1.103	N/A
ESRRG	N/A	N/A	-0.778	-1.72	N/A	N/A	N/A	N/A
RAC1	N/A	N/A	N/A	N/A	0.017	1.217	1.264	N/A
vincristine	N/A	0.832	0.287	N/A	N/A	-1.378	N/A	N/A
verapamil	N/A	N/A	N/A	N/A	N/A	-0.863	1.633	N/A
ACO1	N/A	N/A	1.423	N/A	N/A	-1.067	N/A	N/A
WNT7A	N/A	N/A	N/A	N/A	N/A	0.491	1.996	N/A
FOXO4	-0.505	N/A	N/A	0.186	N/A	-1.795	N/A	N/A
herbimycin	N/A	N/A	2.236	N/A	N/A	0.243	N/A	N/A
RYR1	N/A	N/A	-1.233	N/A	1.233	N/A	N/A	N/A
PAX7	N/A	N/A	-1.31	N/A	N/A	1.0	0.152	N/A
hexachlorobenzene	N/A	N/A	N/A	N/A	N/A	2.449	N/A	N/A
SH42	-1.0	N/A	N/A	N/A	-1.0	-0.447	N/A	N/A
LTBR	N/A	N/A	N/A	N/A	2.0	N/A	-0.447	N/A
PIK3CA	N/A	N/A	N/A	-1.091	N/A	1.342	N/A	N/A
GPX4	N/A	N/A	2.425	N/A	N/A	N/A	N/A	N/A
GPX5	N/A	N/A	2.425	N/A	N/A	N/A	N/A	N/A
KAT2B	N/A	N/A	N/A	N/A	N/A	2.425	N/A	N/A
2,3 butanedione monoxime	N/A	N/A	-2.415	N/A	N/A	N/A	N/A	N/A
streptozocin	-0.821	N/A	N/A	0.642	-0.18	0.771	N/A	N/A
LLGL2	N/A	N/A	-1.414	N/A	N/A	1.0	N/A	N/A
OIP5-AS1	N/A	N/A	-2.404	N/A	N/A	N/A	N/A	N/A
branched chain amino acids	N/A	N/A	1.0	N/A	N/A	-1.387	N/A	N/A
BACE1	N/A	N/A	-2.385	N/A	N/A	N/A	N/A	N/A
POU2F2	N/A	N/A	N/A	N/A	2.236	0.143	N/A	N/A
BNIP3L	N/A	N/A	-0.093	-0.555	0.816	0.896	N/A	N/A
HFE	0.563	N/A	N/A	0.128	N/A	1.667	N/A	N/A
UCN-01	N/A	1.553	0.804	N/A	N/A	N/A	N/A	N/A
TRAPPC1	2.357	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cerivastatin	N/A	0.391	N/A	-1.964	N/A	N/A	N/A	N/A
fluoxetine	N/A	N/A	1.163	-0.94	N/A	-0.24	N/A	N/A
miR-200b-3p (and other miRNAs w/seed AAUACUG)	N/A	N/A	N/A	-0.896	1.447	N/A	N/A	N/A
rifaximin	N/A	N/A	N/A	1.342	-1.0	0.0	0.0	N/A
gentamicin C	N/A	N/A	N/A	1.0	N/A	N/A	1.342	N/A
ASCL1	N/A	N/A	N/A	-0.939	N/A	N/A	-1.4	N/A
CASR	N/A	-0.867	-0.469	N/A	1.0	N/A	N/A	N/A
oxaliplatin	N/A	-2.204	N/A	N/A	N/A	-0.128	N/A	N/A
BHLHE40	N/A	N/A	N/A	0.191	N/A	2.132	N/A	N/A
CAV1	0.116	-0.152	0.211	0.881	-0.11	0.083	0.443	-0.323
ECM1	N/A	N/A	0.313	N/A	-1.109	0.894	N/A	N/A
sildenafil	N/A	N/A	N/A	-1.109	N/A	1.206	N/A	N/A
CNR1	-0.707	N/A	N/A	N/A	0.0	0.898	-0.707	N/A
Laminin (complex)	N/A	N/A	N/A	-1.131	N/A	-1.172	N/A	N/A
LEF1	N/A	N/A	N/A	-0.671	N/A	1.625	N/A	N/A
FAT1	N/A	N/A	0.565	N/A	N/A	-0.753	-0.97	N/A
CTNNBIP1	N/A	N/A	1.987	N/A	N/A	-0.297	N/A	N/A
aflatoxin B1	N/A	N/A	N/A	-0.302	N/A	1.964	N/A	N/A
Cdc42	N/A	N/A	1.807	N/A	N/A	0.0	-0.447	N/A
GABARAP	N/A	N/A	N/A	N/A	N/A	2.236	N/A	N/A
PHGDH	N/A	N/A	2.236	N/A	N/A	N/A	N/A	N/A
NFATC3	N/A	N/A	N/A	N/A	2.236	N/A	N/A	N/A
GABARAPL1	N/A	N/A	N/A	N/A	N/A	2.236	N/A	N/A
GFM2	N/A	N/A	2.236	N/A	N/A	N/A	N/A	N/A
RBM5	0.0	N/A	N/A	N/A	N/A	2.236	N/A	N/A
SLC25A5	N/A	N/A	2.236	N/A	N/A	N/A	N/A	N/A
GABARAPL2	N/A	N/A	N/A	N/A	N/A	2.236	N/A	N/A
CDK6	-2.236	N/A	N/A	N/A	N/A	N/A	N/A	N/A
deferasirox	N/A	N/A	N/A	N/A	1.96	0.271	N/A	N/A
NTRK2	N/A	N/A	N/A	0.928	N/A	-0.853	-0.447	N/A
EPHX2	N/A	N/A	N/A	N/A	N/A	2.226	N/A	N/A
pilocarpine	N/A	N/A	N/A	-0.692	N/A	1.532	N/A	N/A
MASTL	N/A	N/A	N/A	N/A	N/A	2.223	N/A	N/A
N-cor	N/A	N/A	N/A	N/A	N/A	-2.219	N/A	N/A
PPP2CA	N/A	2.219	N/A	N/A	N/A	N/A	N/A	N/A
PEX5	2.219	N/A	N/A	N/A	N/A	N/A	N/A	N/A
isoquercitrin	N/A	N/A	-2.219	N/A	N/A	N/A	N/A	N/A
propofol	N/A	N/A	2.219	N/A	N/A	N/A	N/A	N/A
TCF12	N/A	N/A	N/A	-2.215	N/A	N/A	N/A	N/A
NRAS	N/A	N/A	1.003	N/A	N/A	-0.082	N/A	-1.109
NOX1	N/A	N/A	-2.19	N/A	N/A	N/A	N/A	N/A
SLC13A1	N/A	N/A	0.728	-0.447	-0.378	-0.632	N/A	N/A
ADRB3	N/A	N/A	N/A	N/A	1.091	N/A	-1.091	N/A
lenalidomide	N/A	N/A	N/A	-0.318	N/A	-0.11	N/A	-1.746
JAK2	N/A	0.126	0.52	1.067	N/A	-0.074	-0.344	0.042
MMP14	N/A	N/A	N/A	-0.496	N/A	-1.664	N/A	N/A
PAX3	N/A	-1.154	-1.0	N/A	N/A	N/A	N/A	N/A
SFMBT1	N/A	N/A	0.707	1.0	N/A	-0.447	N/A	N/A
paraquat	0.359	N/A	N/A	0.962	N/A	0.569	0.261	N/A
MED1	N/A	N/A	N/A	N/A	N/A	2.143	N/A	N/A
SKIL	N/A	N/A	-1.414	N/A	N/A	0.728	N/A	N/A
fenretinide	N/A	N/A	N/A	N/A	0.553	-1.583	N/A	N/A
CARM1	N/A	N/A	N/A	N/A	1.982	-0.152	N/A	N/A
2-bromoethylamine	N/A	N/A	N/A	1.067	N/A	N/A	1.067	N/A
RBPJ	N/A	N/A	N/A	0.715	1.038	0.223	-0.157	N/A
NEUROD1	N/A	N/A	N/A	-1.091	N/A	1.038	N/A	N/A
SGPP2	0.277	N/A	1.698	N/A	N/A	-0.152	N/A	N/A
NCSTN	N/A	N/A	N/A	0.849	N/A	1.274	N/A	N/A
PTH	N/A	N/A	N/A	N/A	1.408	-0.714	N/A	N/A
3-nitropropionic acid	N/A	N/A	-1.103	N/A	N/A	N/A	1.016	N/A
MAML1	N/A	N/A	N/A	0.176	1.938	N/A	N/A	N/A
cobalt chloride	N/A	N/A	-1.078	-0.766	N/A	0.269	N/A	N/A
FGF8	N/A	N/A	N/A	-0.171	-1.4	0.094	-0.447	N/A
EIF3E	N/A	N/A	N/A	N/A	1.982	-0.128	N/A	N/A
NCOA4	N/A	N/A	N/A	N/A	-1.98	0.13	N/A	N/A
pitavastatin	N/A	N/A	N/A	N/A	N/A	1.109	1.0	N/A
CSDE1	0.218	N/A	-0.168	N/A	0.218	0.434	1.067	N/A
trovafloxacin	N/A	N/A	-0.577	N/A	0.816	0.707	N/A	N/A
PAX5	N/A	0.896	N/A	N/A	N/A	-1.195	N/A	N/A
TCF	N/A	N/A	N/A	N/A	1.0	N/A	-1.091	N/A
geranylgeranylacetone	N/A	N/A	0.99	N/A	N/A	-1.095	N/A	N/A
TRPS1	N/A	N/A	N/A	N/A	N/A	-0.968	-1.117	N/A
(1S,2R)-NCL-1	N/A	N/A	N/A	N/A	1.961	0.111	N/A	N/A
HSPA9	N/A	N/A	N/A	0.152	N/A	1.912	N/A	N/A
miR-129-5p (and other miRNAs w/seed UUUUUGC)	N/A	-0.83	-0.08	N/A	N/A	-1.154	N/A	N/A
EWSR1-FLI1	N/A	N/A	0.735	-0.618	N/A	0.711	N/A	N/A
ING1	0.128	N/A	-0.396	0.0	-0.728	N/A	0.808	N/A
2-methoxyestradiol	-1.091	0.968	0.0	N/A	N/A	N/A	N/A	N/A
ADAM10	N/A	-0.557	-0.256	N/A	N/A	1.242	N/A	N/A
NCD-38	N/A	N/A	N/A	N/A	1.961	0.09	N/A	N/A
miR-450a-5p (and other miRNAs w/seed UUUGCGA)	N/A	N/A	0.707	-1.342	N/A	N/A	N/A	N/A
oleic acid	N/A	N/A	N/A	-0.391	-0.131	-0.117	-1.409	N/A
everolimus	N/A	1.254	N/A	N/A	N/A	-0.776	N/A	N/A
IND S7	-0.378	0.905	0.728	N/A	0.0	0.0	N/A	N/A
CDKN2A	N/A	N/A	N/A	0.366	N/A	N/A	0.038	1.606
trans-hydroxytamoxifen	N/A	N/A	N/A	-0.18	0.839	0.081	0.905	N/A
bisindolylmaleimide iv	N/A	N/A	N/A	N/A	-2.0	0.0	N/A	N/A
TRAF7	N/A	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
MELK	N/A	N/A	-1.0	N/A	N/A	1.0	N/A	N/A
CYP51A1	N/A	N/A	2.0	N/A	N/A	N/A	N/A	N/A
BARX2	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
ARRB2	N/A	-1.0	N/A	N/A	N/A	1.0	N/A	N/A
PNN	N/A	N/A	2.0	N/A	N/A	0.0	N/A	N/A
RAP1GAP	N/A	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
PD 169316	N/A	-1.0	N/A	N/A	N/A	-1.0	N/A	N/A
FKBP5	N/A	N/A	2.0	N/A	N/A	N/A	N/A	N/A
HSPB8	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
3-deazaneplanocin	N/A	N/A	N/A	N/A	N/A	N/A	-2.0	N/A
prazosin	N/A	N/A	N/A	N/A	-2.0	N/A	N/A	N/A
EFNA4	N/A	-2.0	N/A	N/A	N/A	N/A	N/A	N/A
CDH11	N/A	N/A	N/A	-2.0	N/A	N/A	N/A	N/A
ATP7B	N/A	N/A	-2.0	N/A	N/A	N/A	N/A	N/A
RAD21	N/A	N/A	N/A	N/A	N/A	N/A	-2.0	N/A
RANBP3L	N/A	N/A	N/A	N/A	N/A	N/A	2.0	N/A
THOC5	N/A	N/A	-2.0	N/A	N/A	N/A	N/A	N/A
ramipril	N/A	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
PARK7	N/A	N/A	-2.0	N/A	N/A	N/A	N/A	N/A
mir-31	N/A	N/A	N/A	N/A	N/A	-2.0	N/A	N/A
daporinad	N/A	N/A	N/A	N/A	N/A	N/A	-2.0	N/A
GAS2L3	N/A	N/A	N/A	N/A	N/A	1.0	-1.0	N/A
SMYD1	N/A	N/A	-2.0	N/A	N/A	N/A	N/A	N/A
EFNA3	N/A	-2.0	N/A	N/A	N/A	N/A	N/A	N/A
pomegranate extract pill	N/A	N/A	1.999	N/A	N/A	N/A	N/A	N/A
ozone	N/A	N/A	N/A	N/A	1.999	N/A	N/A	N/A
dibutyl phthalate	N/A	N/A	N/A	N/A	1.999	N/A	N/A	N/A
K+	N/A	N/A	N/A	N/A	1.281	N/A	-0.714	N/A
Hsp90	N/A	N/A	N/A	N/A	N/A	N/A	1.994	N/A
FGFR	N/A	N/A	0.44	N/A	-0.152	-1.4	N/A	N/A
ATF2	N/A	N/A	N/A	N/A	1.483	0.224	0.284	N/A
ZNF106	N/A	0.333	-0.277	N/A	N/A	0.378	-1.0	N/A
NUMB	N/A	N/A	1.987	N/A	N/A	N/A	N/A	N/A
lithium	N/A	N/A	N/A	0.958	N/A	-0.61	-0.418	N/A
ceramide	N/A	N/A	N/A	N/A	N/A	-1.982	N/A	N/A
USP1	N/A	N/A	N/A	N/A	N/A	1.982	N/A	N/A
LDHB	N/A	N/A	-1.982	N/A	N/A	N/A	N/A	N/A
CCR1	N/A	N/A	-1.982	N/A	N/A	0.0	N/A	N/A
infliximab	N/A	N/A	N/A	N/A	N/A	N/A	-1.982	N/A
ITGB8	N/A	N/A	1.982	N/A	N/A	N/A	N/A	N/A
BCKDK	N/A	N/A	-1.982	N/A	N/A	N/A	N/A	N/A
PRMT5	N/A	N/A	N/A	N/A	N/A	N/A	1.982	N/A
TF	N/A	-1.982	N/A	N/A	N/A	N/A	N/A	N/A
RV 538	N/A	N/A	1.98	N/A	N/A	N/A	N/A	N/A
ST6GALNAC1	N/A	N/A	N/A	N/A	N/A	1.98	N/A	N/A
PEX5L	N/A	N/A	1.98	N/A	N/A	N/A	N/A	N/A
FOXL2	N/A	N/A	N/A	N/A	1.98	N/A	N/A	N/A
ADAP1	N/A	N/A	N/A	N/A	1.98	N/A	N/A	N/A
PDX1	N/A	0.554	0.296	-0.429	0.0	0.544	0.156	0.0
mir-205	N/A	N/A	N/A	N/A	N/A	0.133	-1.845	N/A
grape seed extract	N/A	N/A	N/A	N/A	N/A	-1.976	N/A	N/A
NRTN	N/A	N/A	N/A	N/A	1.976	N/A	N/A	N/A
calpain	N/A	N/A	N/A	N/A	1.0	-0.97	N/A	N/A
N4BP1	N/A	N/A	N/A	N/A	N/A	-1.97	N/A	N/A
fedratinib	N/A	1.969	N/A	N/A	N/A	N/A	N/A	N/A
NTF3	N/A	N/A	N/A	N/A	N/A	N/A	-1.969	N/A
DNAJB6	N/A	N/A	N/A	N/A	N/A	-1.969	N/A	N/A
BLACAT1	N/A	N/A	N/A	N/A	N/A	1.969	N/A	N/A
lith-O-Asp	N/A	0.0	0.0	N/A	1.969	N/A	N/A	N/A
NLRP12	N/A	N/A	N/A	N/A	N/A	1.966	N/A	N/A
AFP	N/A	N/A	N/A	N/A	1.966	N/A	N/A	N/A
NGEF	N/A	N/A	N/A	1.633	N/A	0.333	N/A	N/A
acyclic retinoid	N/A	N/A	N/A	N/A	N/A	-1.964	N/A	N/A
HRG	N/A	N/A	N/A	N/A	N/A	1.964	N/A	N/A
FAM83A	N/A	-1.964	N/A	N/A	N/A	N/A	N/A	N/A
RAC2	N/A	N/A	0.896	N/A	N/A	-1.067	N/A	N/A
PDPK1	N/A	N/A	N/A	N/A	N/A	1.96	N/A	N/A
FSHR	N/A	N/A	-1.96	N/A	N/A	N/A	N/A	N/A
TCF20	N/A	N/A	-0.577	1.0	N/A	0.378	N/A	N/A
gossypol	N/A	N/A	1.954	N/A	N/A	N/A	N/A	N/A
miR-218-5p (and other miRNAs w/seed UGUGCUU)	N/A	N/A	N/A	N/A	N/A	-1.951	N/A	N/A
Nfat (family)	N/A	N/A	N/A	N/A	-1.947	N/A	N/A	N/A
CEBPB	N/A	N/A	N/A	-0.564	N/A	0.99	-0.39	N/A
PRKCD	N/A	N/A	N/A	N/A	N/A	-0.268	N/A	-1.673
mir-185	N/A	N/A	1.941	N/A	N/A	N/A	N/A	N/A
Ap1	N/A	N/A	N/A	N/A	N/A	N/A	-1.941	N/A
clopidogrel	N/A	N/A	0.0	N/A	1.94	N/A	N/A	N/A
phencyclidine	N/A	N/A	N/A	N/A	1.929	N/A	N/A	N/A
PDGFC	N/A	N/A	N/A	0.261	N/A	1.665	N/A	N/A
cadmium	N/A	-0.478	N/A	N/A	0.308	0.824	0.305	N/A
LMO2	N/A	-0.07	0.249	0.258	N/A	0.244	-0.277	-0.816
LDB1	N/A	-0.07	0.249	0.258	N/A	0.244	-0.277	-0.816
SGPL1	N/A	N/A	-0.842	N/A	N/A	1.067	N/A	N/A
RACK1	N/A	1.109	0.798	N/A	N/A	N/A	N/A	N/A
NGFR	N/A	N/A	-1.706	N/A	N/A	-0.192	N/A	N/A
SET	N/A	N/A	1.89	N/A	N/A	N/A	N/A	N/A
CIP2A	N/A	N/A	N/A	N/A	N/A	1.234	0.655	N/A
MUC4	N/A	-1.886	N/A	N/A	N/A	N/A	N/A	N/A
AZ-1	N/A	N/A	1.213	N/A	-0.492	N/A	-0.156	N/A
garcinol	N/A	1.411	N/A	N/A	N/A	N/A	-0.447	N/A
sorafenib	-0.581	N/A	0.519	N/A	0.32	-0.436	N/A	N/A
calcipotriene	N/A	N/A	N/A	N/A	0.927	-0.927	N/A	N/A
Am 580	N/A	N/A	N/A	1.091	N/A	-0.563	-0.2	N/A
RARA	N/A	N/A	N/A	N/A	0.439	N/A	0.167	1.242
EIF2AK2	N/A	N/A	N/A	N/A	1.842	N/A	N/A	N/A
miR-146a-5p (and other miRNAs w/seed GAGAACU)	N/A	N/A	N/A	-0.842	N/A	N/A	-1.0	N/A
alvespimycin	N/A	0.864	0.974	N/A	N/A	N/A	N/A	N/A
SPI1	N/A	N/A	N/A	-0.647	N/A	0.134	0.6	0.44
PD 153035	N/A	N/A	N/A	N/A	0.849	0.97	N/A	N/A
staurosporine	N/A	N/A	0.105	0.059	-0.62	0.608	-0.425	N/A
molybdenum disulfide	N/A	N/A	0.6	0.905	0.302	N/A	N/A	N/A
RIPK1	N/A	N/A	N/A	-0.842	N/A	N/A	-0.958	N/A
CHD8	N/A	-0.378	-0.599	0.045	N/A	0.468	-0.308	N/A
POSTN	N/A	-0.728	N/A	1.067	N/A	0.0	N/A	N/A
TGS1	N/A	N/A	1.539	N/A	N/A	-0.239	N/A	N/A
ILK	N/A	N/A	N/A	N/A	N/A	1.777	N/A	N/A
HLX	N/A	N/A	N/A	0.927	0.849	N/A	N/A	N/A
ketamine	N/A	N/A	N/A	N/A	1.772	N/A	N/A	N/A
mir-103	N/A	N/A	1.761	N/A	N/A	N/A	N/A	N/A
ICAM1	N/A	N/A	N/A	1.225	N/A	0.44	0.095	N/A
4-(2-aminoethyl)benzenesulfonylfluoride	-1.067	N/A	N/A	N/A	-0.128	-0.555	N/A	N/A
PPP1R15A	N/A	N/A	N/A	N/A	1.131	-0.617	N/A	N/A
mir-634	N/A	N/A	1.747	N/A	N/A	N/A	N/A	N/A
BCAP31	-0.069	N/A	N/A	-1.0	0.319	-0.342	N/A	N/A
NANOG	N/A	N/A	N/A	N/A	-0.093	-1.332	-0.302	N/A
Sox2ot	N/A	N/A	N/A	-1.067	N/A	N/A	0.659	N/A
TET1	N/A	N/A	N/A	N/A	N/A	-1.709	N/A	N/A
rottlerin	N/A	N/A	N/A	N/A	N/A	-1.701	N/A	N/A
FOSB	N/A	N/A	N/A	N/A	-1.698	N/A	N/A	N/A
miR-291a-3p (and other miRNAs w/seed AAGUGCU)	N/A	0.645	1.049	N/A	N/A	N/A	N/A	N/A
CDH3	N/A	N/A	N/A	N/A	N/A	-1.091	-0.6	N/A
doxifluridine	-1.091	N/A	N/A	N/A	-0.6	N/A	N/A	N/A
EGLN	N/A	N/A	N/A	0.478	N/A	N/A	1.195	N/A
BCL3	N/A	N/A	N/A	0.0	-1.673	N/A	N/A	N/A
SNHG20	N/A	N/A	N/A	N/A	N/A	1.66	N/A	N/A
WNT1	N/A	N/A	N/A	-0.378	0.084	0.745	-0.447	N/A
AFAP1-AS1	N/A	N/A	1.646	N/A	N/A	N/A	N/A	N/A
SP3	N/A	N/A	N/A	N/A	N/A	1.644	N/A	N/A
ZHX2	N/A	N/A	N/A	N/A	0.882	-0.75	N/A	N/A
ABCA1	N/A	N/A	N/A	-1.098	N/A	0.529	N/A	N/A
vorinostat	N/A	N/A	N/A	N/A	N/A	1.15	-0.475	N/A
BRD4	N/A	N/A	N/A	N/A	N/A	1.404	-0.218	N/A
GATA1	N/A	N/A	N/A	0.578	N/A	N/A	-1.043	N/A
MAP2K5	N/A	N/A	N/A	N/A	0.648	0.209	-0.756	N/A
TGFA	N/A	N/A	N/A	N/A	N/A	0.857	-0.585	-0.17
